phone,first_name,last_name,timezone,account_ref,amount_due
+17226880848,Jason,Petrov,America/Denver,ACC-200066,1176.15
+14127628837,Nancy,Walker,America/Chicago,ACC-200067,4702.97
+17667492531,Omar,Beauchamp,America/Los_Angeles,ACC-200068,1011.81
+19174759790,Omar,Beauchamp,America/New_York,ACC-200069,1006.31
+18703053278,Priya,Delacroix,America/Chicago,ACC-200070,577.28
+12438967084,David,Davis,America/Los_Angeles,ACC-200071,827.64
+15228121767,Ryan,Adeyemi,America/Chicago,ACC-200072,1492.55
+17235754421,Sophia,White,America/Los_Angeles,ACC-200073,2233.62
+17158141980,Yuki,Sandoval,America/New_York,ACC-200074,3106.76
+12793304708,Yuki,Lindgren,America/Chicago,ACC-200075,1907.52
+13806813156,Victoria,Lee,Pacific/Honolulu,ACC-200076,2042.51
+14495768327,Daniel,Petrov,America/Chicago,ACC-200077,2735.96
+12959752089,Omar,Anderson,Pacific/Honolulu,ACC-200078,4665.66
+19802678827,Sandra,Clark,America/New_York,ACC-200079,1085.18
+14168563728,Aisha,King,America/Chicago,ACC-200080,3410.58
+15256714450,Isabella,Thornton,America/New_York,ACC-200081,2242.66
+13235810486,Anthony,Ferreira,America/New_York,ACC-200082,2263.60
+12079776522,Victoria,Wilson,America/New_York,ACC-200083,3146.02
+14419297549,David,Young,America/Chicago,ACC-200084,2042.56
+16323394919,Anthony,Moore,America/Denver,ACC-200085,4051.96
+13625120521,Linda,Mbeki,America/New_York,ACC-200086,4492.07
+12689761607,Yuki,Adeyemi,America/New_York,ACC-200087,1650.73
+15883444205,Patricia,Taylor,America/New_York,ACC-200088,1588.12
+17732624225,Michelle,Sorensen,America/New_York,ACC-200089,4490.53
+16924439085,Omar,Reyes,America/New_York,ACC-200090,1851.96
+13099139400,Christopher,Taylor,Pacific/Honolulu,ACC-200091,1192.10
+14515914806,Chloe,Kowalski,America/New_York,ACC-200092,4814.38
+19794560735,Fatima,Andersson,America/Los_Angeles,ACC-200093,249.29
+18594061886,Lucia,Clark,America/Chicago,ACC-200094,3038.12
+19066810857,Susan,Thornton,America/Chicago,ACC-200095,1069.60
+14396517060,Betty,Moore,America/Los_Angeles,ACC-200096,1754.24
+12162813405,Karen,Gonzalez,America/New_York,ACC-200097,1803.47
+13718650327,Victoria,Whitfield,America/New_York,ACC-200098,4704.51
+18239421048,David,Mbeki,America/Los_Angeles,ACC-200099,1500.96
+13288308409,Michael,Costa,America/Los_Angeles,ACC-200100,1147.22
+15882463207,Joseph,Brown,America/Los_Angeles,ACC-200101,2593.36
+18463050340,James,Hall,America/Denver,ACC-200102,1016.02
+19198811928,Michael,Martinez,America/Chicago,ACC-200103,353.31
+16038511035,Victoria,Carter,America/Chicago,ACC-200104,2873.49
+12208360794,Joseph,Robinson,America/New_York,ACC-200105,4785.71
+17845792513,Brian,Whitfield,America/Chicago,ACC-200106,1798.58
+16014458202,Sandra,Harris,America/Los_Angeles,ACC-200107,3261.02
+18016883039,Kevin,Thomas,America/Los_Angeles,ACC-200108,2717.75
+15453169075,Nancy,Mbeki,America/Denver,ACC-200109,4778.90
+16235633271,Sophia,Sandoval,America/Denver,ACC-200110,2137.44
+17363713674,Michael,Anderson,America/New_York,ACC-200111,1293.63
+18816495414,Grace,Anderson,America/Los_Angeles,ACC-200112,1919.27
+14952323047,Nathan,Thornton,America/Denver,ACC-200113,4289.40
+12024137295,Aisha,Petrov,Pacific/Honolulu,ACC-200114,3264.18
+18304841954,Maria,Martin,America/Denver,ACC-200115,2283.82
+14103061953,Maria,Thornton,America/Los_Angeles,ACC-200116,1931.99
+16616112233,Paul,Kahale,America/New_York,ACC-200117,119.27
+12156725259,James,Mbeki,America/Los_Angeles,ACC-200118,1315.96
+13118126105,Aisha,Hall,America/New_York,ACC-200119,3054.93
+19229606362,Linda,Taylor,America/New_York,ACC-200120,2571.09
+16466341763,Steven,Iqbal,America/New_York,ACC-200121,894.98
+18982317760,Elijah,Mbeki,America/New_York,ACC-200122,4973.48
+14885519266,Sophia,Sandoval,America/New_York,ACC-200123,3913.02
+18982979432,Steven,Brown,America/Denver,ACC-200124,1626.64
+12019892013,Paul,Iqbal,America/New_York,ACC-200125,3248.45
+18077193450,Robert,Kahale,America/Denver,ACC-200126,1309.23
+16478025396,Steven,Costa,America/New_York,ACC-200127,4218.33
+16325040388,Daniel,Williams,America/Los_Angeles,ACC-200128,3287.94
+13116044816,Amanda,Kowalski,America/Denver,ACC-200129,271.58
+13527048906,Ahmed,Costa,America/Los_Angeles,ACC-200130,4807.30
+13132761106,Samuel,Miller,America/Los_Angeles,ACC-200131,3846.65
+16293923155,Amanda,Whitfield,America/New_York,ACC-200132,3296.37
+15512158880,Victoria,Harris,America/Chicago,ACC-200133,733.88
+18035190103,Linda,Martinez,America/Chicago,ACC-200134,319.05
+13544176156,Maria,Garcia,America/Denver,ACC-200135,3535.88
+12167449567,Daniel,Miller,America/New_York,ACC-200136,65.25
+14973834303,Kevin,Andersson,America/New_York,ACC-200137,3499.10
+13677899374,Susan,Mbeki,America/New_York,ACC-200138,3957.72
+19688483176,Benjamin,Garcia,America/Los_Angeles,ACC-200139,3509.01
+18773765658,Olivia,Beauchamp,America/Chicago,ACC-200140,3588.76
+16568607129,Lucia,King,America/New_York,ACC-200141,1809.92
+14093519249,Joshua,Sandoval,America/Chicago,ACC-200142,220.32
+19418739948,Christopher,Thomas,America/Los_Angeles,ACC-200143,2880.12
+18094931817,Karen,Petrov,America/New_York,ACC-200144,1306.16
+14533496566,Amanda,Miller,America/Denver,ACC-200145,3083.91
+19698032956,Nathan,Robinson,America/Denver,ACC-200146,4619.73
+17728630357,Ashley,Beauchamp,America/Los_Angeles,ACC-200147,2815.84
+15892862073,Daniel,Mwangi,America/Chicago,ACC-200148,3208.43
+15424760046,Sandra,Moore,America/Chicago,ACC-200149,2986.47
+16232803060,Victoria,Davis,America/Chicago,ACC-200150,1996.76
+18518058884,Kevin,Whitfield,America/New_York,ACC-200151,4231.55
+12069658949,Ryan,Lewis,America/Los_Angeles,ACC-200152,3359.67
+14126107255,Olivia,Delacroix,America/Denver,ACC-200153,2146.51
+16202379848,Andrew,Brown,America/Chicago,ACC-200154,2275.78
+14287412608,Nancy,Andersson,America/Los_Angeles,ACC-200155,400.60
+13188789796,Christopher,Martinez,America/New_York,ACC-200156,1130.25
+18715127246,Ahmed,Lee,Pacific/Honolulu,ACC-200157,2470.13
+14568617609,Nancy,Robinson,America/Los_Angeles,ACC-200158,3927.97
+17909588077,Karen,Novak,America/Chicago,ACC-200159,3688.10
+14403577632,Nancy,Kahale,America/New_York,ACC-200160,3879.81
+12375556230,Michelle,King,America/Los_Angeles,ACC-200161,1449.81
+12247507369,Ryan,Anderson,America/Los_Angeles,ACC-200162,1163.02
+12429283060,Olivia,Anderson,Pacific/Honolulu,ACC-200163,2814.02
+17697822868,Christopher,Beauchamp,America/New_York,ACC-200164,4339.29
+14107150672,Nancy,Chen,America/Phoenix,ACC-200165,969.54
+18363751830,Michelle,Lee,America/New_York,ACC-200166,3780.14
+16195132155,Karen,Novak,America/Chicago,ACC-200167,2456.03
+14068618859,Priya,Adeyemi,America/Los_Angeles,ACC-200168,2105.68
+12217168484,Maria,Brown,Pacific/Honolulu,ACC-200169,3621.55
+12123237256,Elijah,White,America/Los_Angeles,ACC-200170,3676.98
+15023653220,Jennifer,Young,America/New_York,ACC-200171,519.01
+15677967117,Brian,Wilson,America/Los_Angeles,ACC-200172,2081.94
+14895010585,David,Gonzalez,America/Denver,ACC-200173,3325.67
+16203083471,Michael,Chen,America/Los_Angeles,ACC-200174,4098.07
+15743014073,Daniel,Sandoval,America/Los_Angeles,ACC-200175,3581.55
+16312821642,Nancy,Harris,America/Chicago,ACC-200176,1823.31
+15862888731,Karen,Whitfield,America/Los_Angeles,ACC-200177,2093.43
+15338561789,Ryan,Nakamura,America/New_York,ACC-200178,774.93
+14223242998,Brian,Kowalski,America/New_York,ACC-200179,4881.14
+12036153392,Daniel,Williams,America/Los_Angeles,ACC-200180,3143.27
+19892240535,Andrew,Young,Pacific/Honolulu,ACC-200181,646.79
+17396468401,Joshua,Kowalski,America/Chicago,ACC-200182,4543.40
+18752112889,David,Kahale,America/Phoenix,ACC-200183,1340.69
+19587504740,Susan,Garcia,America/Chicago,ACC-200184,2722.37
+19636636133,Anthony,Moore,America/Denver,ACC-200185,4050.90
+15952816266,Fatima,Andersson,America/Los_Angeles,ACC-200186,3197.95
+14084951065,Ahmed,Martin,America/New_York,ACC-200187,901.27
+16957554635,Nathan,Thornton,America/New_York,ACC-200188,4532.78
+19618041996,Aisha,Lewis,America/Chicago,ACC-200189,1695.09
+12392228629,Sandra,Williams,America/Denver,ACC-200190,212.71
+14704232867,Mark,Walker,America/Chicago,ACC-200191,3683.13
+13135071527,Aisha,Delacroix,America/New_York,ACC-200192,4383.17
+12488218227,Michelle,Davis,America/New_York,ACC-200193,2280.41
+13492131295,Karen,Delacroix,America/Los_Angeles,ACC-200194,509.98
+14056082791,Joshua,Kahale,America/Chicago,ACC-200195,2275.81
+17806684054,Chloe,Hall,America/Chicago,ACC-200196,3197.82
+13743600121,Daniel,Martinez,America/Chicago,ACC-200197,4398.60
+14995548120,Nancy,Kahale,America/Chicago,ACC-200198,119.29
+18248040175,Priya,Harris,America/New_York,ACC-200199,3116.44
+14712759201,Ahmed,Garcia,America/Denver,ACC-200200,2549.06
+19132734658,Patricia,Martin,America/Los_Angeles,ACC-200201,72.13
+19362942104,Wei,Jackson,America/Chicago,ACC-200202,4690.58
+19835964706,Emily,White,America/Denver,ACC-200203,2835.39
+12144358650,Omar,Anderson,Pacific/Honolulu,ACC-200204,4992.91
+12963517959,Lucia,Lindgren,America/Los_Angeles,ACC-200205,3142.04
+13134400036,Joshua,Jackson,Pacific/Honolulu,ACC-200206,4556.86
+19263630227,Sophia,Ferreira,America/Chicago,ACC-200207,874.89
+14096332686,Omar,Andersson,America/Denver,ACC-200208,3314.08
+17873502557,Robert,Mwangi,America/New_York,ACC-200209,1817.81
+16744246001,Susan,Moore,America/Los_Angeles,ACC-200210,1641.08
+14614718865,Ahmed,Johnson,America/Los_Angeles,ACC-200211,4494.25
+19955910820,Anthony,Iqbal,America/Chicago,ACC-200212,1021.47
+15602101893,Joseph,Chen,America/New_York,ACC-200213,3878.14
+14592459664,Hannah,Martin,America/Chicago,ACC-200214,4814.34
+17719663360,Ryan,Brown,America/Los_Angeles,ACC-200215,4676.74
+13288849177,Amanda,Thomas,America/Los_Angeles,ACC-200216,1350.23
+17632504889,Michael,Andersson,America/Chicago,ACC-200217,4569.76
+14398655861,Linda,Walker,America/Los_Angeles,ACC-200218,2031.46
+18555878951,Ahmed,Andersson,America/Chicago,ACC-200219,3082.61
+13235647503,Sophia,Iqbal,America/Los_Angeles,ACC-200220,4675.03
+17829876861,Diego,Beauchamp,America/Los_Angeles,ACC-200221,1458.00
+16357654226,Mark,Andersson,America/New_York,ACC-200222,1774.80
+15669175076,Isabella,Novak,America/Phoenix,ACC-200223,4661.90
+15562064551,Priya,Okafor,Pacific/Honolulu,ACC-200224,3864.97
+13854624862,Sophia,Kahale,America/Denver,ACC-200225,217.04
+15305888489,Elijah,Thomas,Pacific/Honolulu,ACC-200226,3818.99
+15389430791,Chloe,Mbeki,America/Denver,ACC-200227,3043.44
+15353824618,Michelle,Anderson,America/New_York,ACC-200228,1286.69
+13099463407,Daniel,Delacroix,America/New_York,ACC-200229,2841.19
+14195886039,Fatima,Kahale,America/New_York,ACC-200230,516.09
+12454104210,Brian,Walker,America/Los_Angeles,ACC-200231,4666.30
+19047624804,Olivia,Chen,America/Chicago,ACC-200232,3217.06
+16405949665,Ahmed,Carter,America/Los_Angeles,ACC-200233,4477.95
+16523285348,David,Jackson,America/New_York,ACC-200234,1369.96
+13089679127,Lucia,White,America/Los_Angeles,ACC-200235,3605.59
+15079326747,Diego,Garcia,America/Denver,ACC-200236,1591.66
+13664797247,Ashley,Young,America/New_York,ACC-200237,20.64
+13724760761,Linda,Jackson,America/Chicago,ACC-200238,3329.51
+14856274944,Aisha,Rossi,America/Los_Angeles,ACC-200239,2401.20
+17746616775,Sandra,Walker,America/New_York,ACC-200240,3011.03
+17444331480,Emily,Nakamura,America/Los_Angeles,ACC-200241,1280.74
+18955801723,Karen,Petrov,America/Los_Angeles,ACC-200242,1523.01
+12282974606,Christopher,Sorensen,America/Los_Angeles,ACC-200243,3449.69
+14816257485,Wei,White,America/Los_Angeles,ACC-200244,899.75
+19728337799,Michelle,Iqbal,America/Denver,ACC-200245,3622.25
+19815022229,James,Adeyemi,America/New_York,ACC-200246,140.58
+17432590374,Patricia,Miller,America/New_York,ACC-200247,3149.22
+12612465343,Christopher,Beauchamp,America/Los_Angeles,ACC-200248,4646.21
+18939876167,Wei,Lee,America/Los_Angeles,ACC-200249,4027.68
+18184436169,Emily,Anderson,America/Phoenix,ACC-200250,3759.83
+15458553043,Karen,Davis,America/Los_Angeles,ACC-200251,4735.89
+12444111066,Olivia,Taylor,America/Los_Angeles,ACC-200252,105.61
+17276604590,David,Jackson,America/Phoenix,ACC-200253,519.51
+14539178470,Jennifer,Thornton,America/Los_Angeles,ACC-200254,3848.42
+14884932103,Jason,Lindgren,America/Anchorage,ACC-200255,4419.77
+15264314925,Fatima,Wright,America/Denver,ACC-200256,3031.16
+17939702792,Isabella,Carter,America/New_York,ACC-200257,3043.82
+18854945628,Sophia,Harris,America/Los_Angeles,ACC-200258,3040.90
+16052422143,Priya,Rossi,America/Chicago,ACC-200259,4570.04
+13605579051,Priya,Sorensen,America/Phoenix,ACC-200260,383.26
+15944995253,Michelle,Robinson,America/New_York,ACC-200261,595.32
+19399331964,Linda,Reyes,America/Los_Angeles,ACC-200262,1757.93
+15719866860,Nancy,Rossi,America/Chicago,ACC-200263,2375.05
+12102829449,Nathan,Mbeki,America/New_York,ACC-200264,4491.62
+19493813659,Betty,Miller,America/Los_Angeles,ACC-200265,4605.94
+12504890775,Chloe,Miller,America/New_York,ACC-200266,1845.30
+17939766214,Sophia,Andersson,America/Chicago,ACC-200267,187.04
+14245241347,Susan,Sorensen,America/New_York,ACC-200268,1143.55
+19738417162,James,Delacroix,America/Anchorage,ACC-200269,939.94
+12693804310,Jason,White,America/Los_Angeles,ACC-200270,2084.41
+12978177764,Anthony,King,America/New_York,ACC-200271,4506.70
+17025374118,Mark,Rossi,America/New_York,ACC-200272,510.98
+12112299857,Patricia,Martin,America/Chicago,ACC-200273,1141.74
+13075248854,Joshua,Thomas,America/Los_Angeles,ACC-200274,3464.84
+18248721783,Daniel,Mwangi,America/Chicago,ACC-200275,2167.46
+19232431382,Patricia,Beauchamp,America/Chicago,ACC-200276,1069.21
+19628873847,Hannah,Garcia,America/New_York,ACC-200277,1039.66
+14585954380,Lucia,Thornton,America/Los_Angeles,ACC-200278,596.32
+18748573496,Michael,Costa,America/Los_Angeles,ACC-200279,3206.56
+15569635387,Mark,Walker,America/Chicago,ACC-200280,2485.74
+15413848830,Nancy,Johnson,America/Chicago,ACC-200281,4409.52
+14014404045,Aisha,Delacroix,America/Chicago,ACC-200282,3736.98
+13322999040,Ashley,Sorensen,America/New_York,ACC-200283,2580.04
+16623907643,Elijah,Reyes,America/New_York,ACC-200284,4407.95
+13584202169,Priya,Iqbal,America/Los_Angeles,ACC-200285,2562.46
+18016047282,Kevin,Hall,America/New_York,ACC-200286,3586.30
+14407844926,Anthony,King,America/Denver,ACC-200287,1066.51
+19712447809,Paul,Martin,America/Los_Angeles,ACC-200288,1782.88
+15294381482,Anthony,Miller,America/Chicago,ACC-200289,1207.12
+15524742979,Lucia,Nakamura,America/Chicago,ACC-200290,605.23
+17393367670,Benjamin,Moore,America/New_York,ACC-200291,3420.00
+16984269150,Joshua,Carter,Pacific/Honolulu,ACC-200292,1449.24
+19848707425,Jennifer,Delacroix,America/Anchorage,ACC-200293,4726.84
+19464561758,Yuki,Robinson,America/New_York,ACC-200294,1411.64
+13422361998,Jennifer,Thornton,America/New_York,ACC-200295,2306.49
+17576549228,Nancy,Carter,America/Los_Angeles,ACC-200296,2268.20
+14353116103,Michelle,Carter,America/New_York,ACC-200297,992.16
+17692763845,Isabella,Martinez,America/New_York,ACC-200298,955.97
+13126426666,Sandra,White,America/New_York,ACC-200299,520.00
+18087112049,Maria,Lewis,America/Chicago,ACC-200300,1908.29
+14359158496,Benjamin,Martinez,America/Chicago,ACC-200301,4107.45
+13755459825,Andrew,Thornton,America/New_York,ACC-200302,4663.48
+18614406970,Diego,Novak,America/New_York,ACC-200303,4369.91
+17792264099,Paul,Lewis,America/Chicago,ACC-200304,1431.66
+12583080250,Jason,Moore,America/Chicago,ACC-200305,3242.89
+16066838920,Fatima,Wilson,America/Denver,ACC-200306,2173.16
+12857502423,Omar,Thornton,America/Chicago,ACC-200307,3151.59
+19098635702,Karen,Mbeki,America/Denver,ACC-200308,2047.61
+14026507901,Mark,Carter,America/Los_Angeles,ACC-200309,454.09
+18879017964,Steven,Iqbal,America/New_York,ACC-200310,2446.05
+19265629142,Fatima,Jackson,America/Los_Angeles,ACC-200311,4720.54
+15605068609,Chloe,Reyes,America/Los_Angeles,ACC-200312,4151.01
+18444354163,James,Petrov,America/Phoenix,ACC-200313,2091.00
+18458330200,Joseph,Lindgren,America/Denver,ACC-200314,1930.19
+12406812199,Joshua,Martin,America/New_York,ACC-200315,479.17
+13722448728,Nathan,Costa,America/New_York,ACC-200316,3676.37
+19732517074,Brian,Brown,Pacific/Honolulu,ACC-200317,4873.61
+15504959163,Yuki,Chen,America/Los_Angeles,ACC-200318,2728.17
+15824540613,Hannah,Sorensen,Pacific/Honolulu,ACC-200319,759.67
+19428086930,Maria,Williams,America/Chicago,ACC-200320,927.78
+18675686023,Daniel,Taylor,America/Chicago,ACC-200321,1573.79
+15006017514,Emily,Novak,America/Chicago,ACC-200322,432.30
+16218453025,James,White,America/Los_Angeles,ACC-200323,1918.86
+15627290660,Priya,Beauchamp,America/Denver,ACC-200324,3107.04
+15455362538,Mark,Petrov,America/Los_Angeles,ACC-200325,4766.39
+18145734275,Anthony,Anderson,America/Denver,ACC-200326,4556.39
+17603567412,Ryan,Kahale,America/Los_Angeles,ACC-200327,225.99
+16828601915,Samuel,Carter,America/New_York,ACC-200328,4071.64
+14904574907,Fatima,Nakamura,America/New_York,ACC-200329,3744.72
+13228009481,Joseph,Young,America/Los_Angeles,ACC-200330,3648.46
+18246230208,Ahmed,Young,America/New_York,ACC-200331,928.21
+19523138987,Christopher,Wilson,America/New_York,ACC-200332,4158.78
+13808285606,Lucia,Reyes,America/Los_Angeles,ACC-200333,4367.60
+19493156393,Elijah,Beauchamp,America/Phoenix,ACC-200334,4163.67
+14385377947,Wei,Whitfield,America/Los_Angeles,ACC-200335,705.08
+19662602254,Elijah,Mwangi,Pacific/Honolulu,ACC-200336,185.61
+15085753538,Jennifer,Mwangi,America/New_York,ACC-200337,3949.10
+19534132985,Betty,Beauchamp,America/Los_Angeles,ACC-200338,758.98
+16608584715,Steven,White,America/Denver,ACC-200339,3381.97
+18224875080,Michael,Whitfield,America/Los_Angeles,ACC-200340,4786.96
+16519210134,Elijah,King,Pacific/Honolulu,ACC-200341,2916.99
+16068725360,Ahmed,Young,America/Chicago,ACC-200342,3978.71
+12258376152,Nathan,Clark,America/Chicago,ACC-200343,795.10
+12893458238,Chloe,Miller,America/Chicago,ACC-200344,2193.68
+13219099148,Nathan,Petrov,America/New_York,ACC-200345,48.37
+19744297555,Chloe,Walker,America/New_York,ACC-200346,659.88
+16384578245,Fatima,Mbeki,America/Los_Angeles,ACC-200347,3792.26
+19648569937,Andrew,Kahale,America/New_York,ACC-200348,1286.10
+17883684100,Paul,Taylor,America/Chicago,ACC-200349,2302.95
+18918559553,Mark,Gonzalez,America/Los_Angeles,ACC-200350,784.57
+14556169615,Maria,Mbeki,America/Denver,ACC-200351,1554.03
+16973787707,Priya,Jackson,America/Phoenix,ACC-200352,4049.35
+12234413933,Victoria,Martinez,America/New_York,ACC-200353,2533.64
+14498318352,Anthony,Mwangi,America/New_York,ACC-200354,4216.39
+15175106308,Ryan,Andersson,America/New_York,ACC-200355,60.38
+14593815379,James,Anderson,America/New_York,ACC-200356,4611.23
+14112702677,Nancy,Harris,America/New_York,ACC-200357,1454.99
+15509397533,Patricia,Harris,America/Los_Angeles,ACC-200358,589.79
+12109907861,Michael,Lee,Pacific/Honolulu,ACC-200359,2195.69
+19648710034,Andrew,Rossi,America/Los_Angeles,ACC-200360,115.51
+12977481594,Michelle,Carter,Pacific/Honolulu,ACC-200361,3767.68
+13459908024,Sandra,White,Pacific/Honolulu,ACC-200362,273.46
+19998129847,Joshua,Adeyemi,America/New_York,ACC-200363,4367.88
+15104817231,Anthony,Whitfield,America/Los_Angeles,ACC-200364,2957.08
+14663750841,Samuel,Jackson,America/Los_Angeles,ACC-200365,4824.04
+12217966382,Jennifer,Walker,America/Denver,ACC-200366,4882.55
+17459756033,Lucia,Kowalski,America/Los_Angeles,ACC-200367,566.26
+19647898116,Andrew,Andersson,America/Los_Angeles,ACC-200368,2963.59
+19215849268,Priya,Williams,America/Los_Angeles,ACC-200369,1372.31
+18623730878,Linda,Anderson,America/Los_Angeles,ACC-200370,3835.80
+17508281386,Susan,Robinson,America/Phoenix,ACC-200371,1170.89
+12193376157,Betty,Taylor,America/New_York,ACC-200372,2455.17
+18326197100,Yuki,Sorensen,America/Chicago,ACC-200373,3327.01
+16735793218,Michael,Chen,America/New_York,ACC-200374,2060.51
+17938214992,Daniel,Sandoval,America/Chicago,ACC-200375,3649.54
+19322496544,Benjamin,Ferreira,America/New_York,ACC-200376,1638.25
+15154097406,Amanda,Thomas,America/New_York,ACC-200377,1756.11
+15197972646,Olivia,Nakamura,America/Chicago,ACC-200378,2589.94
+19846760980,Susan,Williams,America/New_York,ACC-200379,3883.96
+19388770669,Aisha,Brown,America/Chicago,ACC-200380,2507.16
+12856242819,Joseph,Whitfield,America/Los_Angeles,ACC-200381,861.34
+18383006312,Victoria,Okafor,America/Los_Angeles,ACC-200382,511.32
+13265538061,Linda,Sandoval,America/Los_Angeles,ACC-200383,3247.93
+18402491938,Michelle,Anderson,America/Los_Angeles,ACC-200384,4619.36
+13537613736,Priya,Kahale,America/Los_Angeles,ACC-200385,4196.90
+13137184407,Chloe,Beauchamp,America/Denver,ACC-200386,4579.34
+13063733598,Linda,Whitfield,America/New_York,ACC-200387,237.75
+19314703070,Mark,Wright,America/Los_Angeles,ACC-200388,1257.41
+15397531274,Michelle,Martinez,America/Los_Angeles,ACC-200389,4858.62
+13347641633,Ryan,Petrov,America/Chicago,ACC-200390,83.58
+13114649474,Sandra,Okafor,America/Denver,ACC-200391,4247.07
+18128270216,Wei,Rossi,America/Chicago,ACC-200392,1146.75
+17909193704,Patricia,Johnson,America/Chicago,ACC-200393,1918.91
+14224636353,Linda,Mwangi,America/Chicago,ACC-200394,1991.25
+16598346802,Hannah,Sandoval,America/Chicago,ACC-200395,4481.62
+12293717853,Chloe,Jackson,America/New_York,ACC-200396,2347.98
+14828733240,Fatima,Lewis,America/Los_Angeles,ACC-200397,4792.06
